Subject,Cond,N100_amp,P200_amp,N100_latency,P200_latency,peak_to_peak
OP0001,Perc,-1.8271819361516437e-07,4.772741962099318e-06,0.1171875,0.2109375,4.955460155714482e-06
OP0001,Perc,3.95147140549669e-06,1.6920960720792668e-05,0.140625,0.1953125,1.2969489315295978e-05
OP0001,Perc,6.957329970162156e-06,1.332635393749507e-05,0.09375,0.1875,6.369023967332913e-06
OP0001,Perc,-4.3264360661456325e-08,7.217821388021879e-06,0.0859375,0.1640625,7.261085748683335e-06
OP0001,Perc,2.0422118380239127e-06,3.0868061634228713e-06,0.1171875,0.171875,1.0445943253989586e-06
OP0001,Perc,-7.083747206514323e-06,1.6006841682538187e-06,0.1328125,0.21875,8.684431374768141e-06
OP0001,Perc,-1.3006744071881424e-06,3.8134144322011225e-06,0.125,0.234375,5.114088839389265e-06
OP0001,Perc,-1.3620387880795515e-05,-6.8165616845754255e-06,0.09375,0.2265625,6.803826196220089e-06
OP0001,Perc,-4.059741082238885e-07,2.969735111628711e-07,0.1171875,0.2109375,7.029476193867596e-07
OP0001,Perc,-1.8457183470194364e-06,-1.9642540592934015e-06,0.1484375,0.171875,1.1853571227396514e-07
OP0001,Perc,-6.0841521624344475e-06,5.908933288992477e-06,0.140625,0.1796875,1.1993085451426925e-05
OP0001,Perc,-1.5106000680632387e-05,1.5234218863182676e-06,0.1328125,0.2421875,1.6629422566950655e-05
OP0001,Perc,-2.8577468167922953e-06,1.016206040387707e-06,0.1484375,0.1640625,3.873952857180002e-06
OP0001,Perc,-6.834543998188623e-06,1.1728732796899887e-05,0.0859375,0.2265625,1.856327679508851e-05
OP0001,Perc,3.5684713976070475e-06,3.2169349022409168e-06,0.125,0.2421875,3.515364953661307e-07
OP0001,Perc,-2.470103203345621e-06,7.406882469942437e-06,0.1015625,0.1796875,9.876985673288058e-06
OP0001,Perc,-5.861385846018741e-06,7.1285570615100365e-06,0.1015625,0.203125,1.2989942907528776e-05
OP0001,Perc,-1.043297936242669e-06,5.349689236134885e-06,0.1015625,0.234375,6.392987172377554e-06
OP0001,Perc,2.5764998771552207e-07,1.3022528509807085e-05,0.1484375,0.203125,1.2764878522091563e-05
OP0001,Perc,-8.639063769468364e-06,7.882224831084169e-07,0.1015625,0.203125,9.42728625257678e-06
OP0001,Perc,2.360841337865941e-06,6.4260180455021085e-06,0.140625,0.1875,4.0651767076361674e-06
OP0001,Perc,-1.1049002805532428e-05,-1.904048464656197e-06,0.0859375,0.2421875,9.144954340876232e-06
OP0001,Perc,-4.160515350544326e-06,5.246247198584548e-06,0.1484375,0.2421875,9.406762549128873e-06
OP0001,Perc,-1.8704632529410945e-06,3.4685925741911267e-06,0.1015625,0.1640625,5.339055827132221e-06
OP0001,Perc,-1.1295848607244106e-05,8.679077481561519e-06,0.1328125,0.2421875,1.9974926088805626e-05
OP0001,Perc,-2.7540597639878114e-06,2.275151991191601e-06,0.140625,0.171875,5.029211755179412e-06
OP0001,Perc,-4.870547959935622e-06,5.262407779222493e-06,0.1328125,0.1953125,1.0132955739158114e-05
OP0001,Perc,-6.941435185781247e-06,2.0345361417885714e-05,0.1484375,0.203125,2.728679660366696e-05
OP0001,Perc,-7.68820650432259e-06,5.445373987936598e-06,0.125,0.2421875,1.3133580492259189e-05
OP0001,Perc,2.4429272124876055e-06,4.177172500984027e-06,0.140625,0.15625,1.7342452884964217e-06
OP0001,Perc,-1.2876502698481789e-06,4.841977638438838e-06,0.125,0.1875,6.129627908287018e-06
OP0001,Perc,-2.195630762298425e-06,3.4349412899902193e-06,0.0859375,0.2109375,5.630572052288645e-06
OP0001,Perc,-3.035231073943726e-06,3.7404883933195573e-06,0.1484375,0.2265625,6.775719467263283e-06
OP0001,Perc,-7.5019459459067e-07,7.945908137356069e-06,0.125,0.15625,8.696102731946738e-06
OP0001,Perc,2.696501900194643e-06,6.645737457534899e-06,0.140625,0.1640625,3.949235557340256e-06
OP0001,Perc,-3.4764244852416353e-06,4.980674833569673e-06,0.09375,0.171875,8.457099318811309e-06
OP0001,Perc,-2.7845055794924272e-05,1.3343541121508219e-05,0.125,0.2421875,4.118859691643249e-05
OP0001,Perc,-8.1595281467357e-06,1.2971094314793576e-06,0.0859375,0.2109375,9.456637578215057e-06
OP0001,Perc,-7.584064819651366e-06,1.2618575938499017e-05,0.09375,0.2421875,2.0202640758150383e-05
OP0001,Perc,-3.763569355434493e-06,1.2897881883427643e-05,0.125,0.1796875,1.6661451238862135e-05
OP0001,Perc,-1.1170787773132825e-05,4.178905732408609e-06,0.1484375,0.1796875,1.5349693505541434e-05
